"call_number","unit_id","incident_number","call_type","call_date","watch_date","received_dttm","entry_dttm","dispatch_dttm","response_dttm","on_scene_dttm","transport_dttm","hospital_dttm","call_final_disposition","available_dttm","address","city","zipcode_of_incident","battalion","station_area","box","original_priority","priority","final_priority","als_unit","call_type_group","number_of_alarms","unit_type","unit_sequence_in_call_dispatch","fire_prevention_district","supervisor_district","neighborhoods_analysis_boundaries","rowid","case_location","data_as_of","data_loaded_at",":@computed_region_ajp5_b2md"
"063520271","71","06099527","Medical Incident","2006-12-18T00:00:00.000","2006-12-18T00:00:00.000","2006-12-18T16:30:48.000","2006-12-18T16:32:45.000","2006-12-18T16:33:06.000",,,,,"Other",,"TAYLOR ST/JEFFERSON ST","SF","94133","B01","28","0945","E","E","3","false",,"1","MEDIC","4","1","3","North Beach","063520271-71","POINT (-122.4158 37.808212)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","23"
"063530078","E36","06099669","Alarms","2006-12-19T00:00:00.000","2006-12-19T00:00:00.000","2006-12-19T08:39:29.000","2006-12-19T08:40:48.000","2006-12-19T08:40:54.000","2006-12-19T08:42:32.000","2006-12-19T08:44:52.000",,,"Other","2006-12-19T08:56:48.000","LAGUNA ST/IVY ST","SF","94102","B02","36","3413","3","3","3","true",,"1","ENGINE","1","2","5","Hayes Valley","063530078-E36","POINT (-122.42636 37.77693)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","9"
"063530311","M13","06099836","Medical Incident","2006-12-19T00:00:00.000","2006-12-19T00:00:00.000","2006-12-19T19:49:26.000","2006-12-19T19:52:04.000","2006-12-19T19:52:22.000",,,,,"Other","2006-12-19T19:54:02.000","AVENUE D/09TH TI ST","TI","94130","B03","48","2931","3","3","3","true",,"1","MEDIC","3","None","6","Treasure Island","063530311-M13","POINT (-122.37266 37.82412)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","37"
"063540281","T10","06100040","Alarms","2006-12-20T00:00:00.000","2006-12-20T00:00:00.000","2006-12-20T16:06:01.000","2006-12-20T16:07:03.000","2006-12-20T16:07:16.000",,,,,"Other","2006-12-20T16:08:35.000","ERKSON CT/POST ST","SF","94115","B04","10","4131","3","3","3","false",,"1","TRUCK","3","5","5","Japantown","063540281-T10","POINT (-122.44015 37.78426)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","15"
"063560404","E35","06100734","Alarms","2006-12-22T00:00:00.000","2006-12-22T00:00:00.000","2006-12-22T23:14:14.000","2006-12-22T23:17:02.000","2006-12-22T23:18:08.000",,,,,"Other","2006-12-22T23:20:01.000","STEVENSON ST/05TH ST","SF","94103","B03","01","2212","3","3","3","false",,"1","ENGINE","3","3","6","South of Market","063560404-E35","POINT (-122.407486 37.783527)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","34"
"063570023","M14","06100764","Medical Incident","2006-12-23T00:00:00.000","2006-12-22T00:00:00.000","2006-12-23T01:13:39.000","2006-12-23T01:16:59.000","2006-12-23T01:17:21.000","2006-12-23T01:19:15.000",,,,"Other",,"48TH AVE/KIRKHAM ST","SF","94122","B08","23","7723","1","1","2","true",,"1","MEDIC","2","8","4","Sunset/Parkside","063570023-M14","POINT (-122.507935 37.758465)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","35"
"063600060","M13","06101579","Medical Incident","2006-12-26T00:00:00.000","2006-12-25T00:00:00.000","2006-12-26T06:22:25.000","2006-12-26T06:24:57.000","2006-12-26T06:25:21.000",,,,,"Other","2006-12-26T06:30:53.000","CALIFORNIA ST/SCOTT ST","SF","94115","B04","38","4125","3","3","3","true",,"1","MEDIC","3","4","2","Pacific Heights","063600060-M13","POINT (-122.438774 37.788277)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","30"
"063600290","T12","06101737","Medical Incident","2006-12-26T00:00:00.000","2006-12-26T00:00:00.000","2006-12-26T17:58:18.000","2006-12-26T18:00:20.000","2006-12-26T18:00:32.000",,,,,"Other",,"UPPER TER/MONUMENT WAY","SF","94117","B05","12","5165","3","3","3","false",,"1","TRUCK","2","5","8","Haight Ashbury","063600290-T12","POINT (-122.44629 37.76231)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","3"
"063610070","T16","06101850","Other","2006-12-27T00:00:00.000","2006-12-26T00:00:00.000","2006-12-27T05:38:19.000","2006-12-27T05:40:24.000","2006-12-27T05:40:36.000","2006-12-27T05:42:55.000","2006-12-27T05:45:27.000",,,"Other","2006-12-27T06:08:48.000","LAGUNA ST/LOMBARD ST","SF","94123","B04","16","3352","3","3","3","false",,"1","TRUCK","1","4","2","Marina","063610070-T16","POINT (-122.431114 37.80047)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","13"
"063640354","87","06102991","Medical Incident","2006-12-30T00:00:00.000","2006-12-30T00:00:00.000","2006-12-30T22:27:29.000","2006-12-30T22:30:01.000","2006-12-30T22:30:37.000",,,,,"Other","2006-12-30T22:51:08.000","06TH ST/MINNA ST","SF","94103","B03","01","2251","3","3","3","true",,"1","MEDIC","3","3","6","South of Market","063640354-87","POINT (-122.40816 37.780537)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","34"
